run_id,pid,exit_code,wallclock_s,max_rss_mb
0,23,0,2.662773,108.871
1,24,0,2.891749,111.016
2,25,0,3.403731,112.438
3,26,0,3.192301,112.676
4,27,0,2.892080,111.051
5,32,0,3.669623,115.930
6,33,0,2.892655,111.312
7,35,0,2.775175,110.363
8,40,0,3.197688,110.074
9,45,0,2.661049,110.820
10,50,0,3.027234,112.039
11,54,0,3.199654,113.336
12,64,0,2.660225,110.414
13,68,0,3.202700,112.633
14,78,0,2.773462,110.992
15,80,0,2.773550,109.852
16,85,0,3.407710,111.180
17,94,0,3.208229,112.695
18,104,0,2.891325,110.926
19,111,0,3.411696,114.773
20,117,0,3.036718,112.199
21,130,0,3.416655,112.648
22,142,0,3.422691,115.059
23,153,0,2.772726,110.207
24,161,0,3.217568,112.270
25,171,0,3.043354,111.922
26,184,0,2.892491,111.488
27,204,0,3.043060,112.180
28,220,0,2.892407,111.172
29,236,0,3.423163,116.535
30,653,0,2.505533,117.402
31,654,0,2.277207,116.527
32,655,0,1.829308,111.613
33,716,0,2.276031,112.074
34,717,0,2.390698,112.398
35,718,0,2.275549,110.457
36,720,0,2.162869,111.223
37,800,0,2.799192,114.824
38,801,0,2.388977,111.773
39,802,0,2.389940,111.711
40,804,0,2.671025,114.719
41,805,0,2.797134,111.988
42,807,0,2.151740,109.402
43,926,0,2.748786,114.723
44,927,0,2.749392,112.672
45,928,0,2.750429,111.840
46,929,0,2.509576,111.715
47,1010,0,2.676645,112.938
48,1011,0,2.678983,112.867
49,1012,0,2.681675,114.160
50,1013,0,2.299269,110.715
51,1014,0,2.418517,110.215
52,1016,0,2.298992,109.188
53,1136,0,2.035115,110.316
54,1137,0,2.153433,113.012
55,1138,0,2.588667,113.277
56,1139,0,2.419203,112.016
57,1140,0,2.421302,111.484
58,1141,0,2.423392,109.535
59,1262,0,2.299931,113.965
60,1283,0,1.545660,111.215
61,1304,0,1.746141,110.344
62,1305,0,1.748350,109.887
63,1346,0,1.805315,111.828
64,1347,0,1.918946,111.246
65,1349,0,1.804765,110.547
66,1409,0,1.798922,111.156
67,1410,0,2.417147,116.293
68,1451,0,1.776002,111.992
69,1452,0,1.907095,114.773
70,1493,0,2.122482,114.652
71,1494,0,2.008586,113.262
72,1495,0,1.893966,111.281
73,1497,0,2.235178,115.594
74,1502,0,2.651172,115.645
75,1598,0,2.006100,110.324
76,1599,0,2.241337,111.719
77,1600,0,2.005813,110.094
78,1601,0,2.535609,115.691
79,1682,0,1.981216,110.473
80,1683,0,2.627541,114.785
81,1684,0,2.246026,113.262
82,1745,0,2.219433,111.648
83,1746,0,2.574786,112.570
84,1747,0,2.708879,113.316
85,1748,0,2.218962,110.926
86,1749,0,2.575872,114.668
87,1751,0,2.576828,113.086
88,1871,0,2.261977,114.777
89,1872,0,2.650968,115.465
90,1873,0,2.262240,112.863
91,1934,0,2.325427,115.570
92,1935,0,1.621354,110.754
93,1976,0,1.899480,113.027
94,1977,0,1.901188,110.965
95,2018,0,2.255529,115.457
96,2019,0,1.649481,110.379
97,2060,0,1.817261,112.586
98,2081,0,2.111230,115.594
99,2102,0,2.256100,116.402
100,2123,0,1.641254,111.176
101,2124,0,2.142660,115.312
102,2165,0,1.766771,113.465
103,2166,0,1.528080,109.824
104,2167,0,2.268479,114.430
105,2228,0,1.780781,111.359
106,2229,0,1.649263,111.945
107,2270,0,2.007939,114.750
108,2291,0,1.732873,112.305
109,2312,0,1.981602,113.258
110,2313,0,1.981490,114.172
111,2314,0,1.498463,109.809
112,2316,0,1.861411,111.727
113,2396,0,2.215849,114.270
114,2397,0,2.216128,114.562
115,2398,0,2.099590,112.652
116,2400,0,2.099478,113.246
117,2480,0,1.965993,113.543
118,2481,0,2.203960,113.172
119,2482,0,1.848011,110.855
120,2543,0,2.074688,112.074
121,2544,0,1.717085,108.512
122,2585,0,2.078209,113.566
123,2586,0,1.668094,109.801
124,2587,0,2.252815,113.477
125,2648,0,1.517938,110.359
126,2669,0,1.768613,112.879
127,2690,0,1.999624,113.578
128,2691,0,1.821316,113.328
129,2692,0,1.824233,112.234
130,2753,0,2.177942,113.996
131,2774,0,1.901351,112.895
132,2775,0,1.586627,111.758
133,2816,0,1.624482,110.422
134,2837,0,1.650153,112.094
135,2838,0,2.073922,114.266
136,2839,0,1.652552,112.215
137,2900,0,1.953629,113.211
138,2921,0,2.069604,115.578
139,2922,0,2.307768,117.578
140,2963,0,1.711126,111.223
141,2984,0,2.188875,115.148
142,2985,0,2.428642,113.848
143,3026,0,1.592765,111.098
144,3027,0,1.714554,111.727
145,3068,0,2.305258,115.031
146,3069,0,2.305175,112.727
147,3070,0,2.187962,113.227
148,3072,0,2.304675,112.152
149,3073,0,2.570475,115.414
150,3173,0,1.953210,112.230
151,3174,0,2.304681,114.027
152,3215,0,1.541874,109.254
153,3216,0,1.894029,111.316
154,3257,0,1.719872,111.500
155,3258,0,2.261314,115.594
156,3299,0,1.920531,113.578
157,3300,0,1.535229,108.605
158,3301,0,1.776191,111.184
159,3302,0,1.921132,113.430
160,3383,0,2.135223,114.801
161,3384,0,1.634454,110.496
162,3425,0,2.506375,114.578
163,3426,0,1.791705,112.523
164,3427,0,1.794842,112.133
165,3488,0,2.037634,114.230
166,3509,0,2.485043,115.609
167,3510,0,1.959791,113.453
168,3511,0,2.341186,115.906
169,3572,0,1.727537,111.855
170,3573,0,1.863260,112.945
171,3614,0,2.252876,114.141
172,3635,0,1.497673,110.543
173,3656,0,1.889263,114.324
174,3658,0,1.750381,114.410
175,3698,0,1.781674,111.863
176,3699,0,1.661221,110.820
177,3740,0,2.192491,112.332
178,3741,0,1.666895,108.648
179,3742,0,2.069904,112.859
180,3744,0,2.421094,116.324
181,3824,0,2.305361,113.645
182,3825,0,2.074430,111.500
183,3826,0,2.304539,113.637
184,3887,0,2.410300,115.312
185,3888,0,2.284171,113.586
186,3891,0,2.407753,114.305
187,3950,0,2.249374,113.914
188,3951,0,2.249645,111.496
189,3952,0,2.645303,115.809
190,4013,0,1.677990,109.820
191,4014,0,1.677720,111.754
192,4015,0,2.043770,112.035
193,4076,0,1.971261,114.066
194,4097,0,2.204794,115.145
195,4118,0,2.327670,117.203
196,4119,0,1.921480,113.320
197,4120,0,2.328037,115.938
198,4181,0,1.806130,112.395
199,4182,0,1.807214,111.895
200,4223,0,1.944661,112.242
201,4224,0,2.077856,115.020
202,4265,0,1.824681,112.316
203,4266,0,2.382173,114.160
204,4267,0,2.078500,115.469
205,4328,0,1.446158,108.316
206,4329,0,1.708522,110.484
207,4330,0,1.960111,111.414
208,4391,0,1.692526,111.613
209,4412,0,2.491712,117.754
210,4413,0,1.983867,115.633
211,4454,0,1.868219,113.793
212,4455,0,1.984370,113.566
213,4496,0,1.976582,113.141
214,4497,0,1.503636,109.613
215,4498,0,1.743338,111.559
216,4559,0,2.124035,114.312
217,4580,0,2.261201,113.680
218,4581,0,2.405859,115.188
219,4582,0,2.005203,113.602
220,4583,0,1.731112,109.363
221,4585,0,1.614132,110.977
222,4685,0,1.733572,111.164
223,4706,0,1.588407,110.051
224,4707,0,1.989212,113.137
225,4708,0,1.990704,113.777
226,4709,0,1.589519,109.656
227,4790,0,1.847844,112.809
228,4791,0,2.113428,114.727
229,4832,0,1.996177,111.852
230,4833,0,1.859880,112.230
231,4834,0,1.996722,113.418
232,4836,0,1.998193,113.211
233,4837,0,1.999465,112.863
234,4937,0,1.881288,111.227
235,4958,0,1.875764,114.523
236,4959,0,1.742167,112.180
237,5000,0,1.445422,111.602
238,5021,0,2.356417,116.059
239,5022,0,1.924347,112.902
240,5063,0,1.696598,111.273
241,5064,0,1.860907,113.570
242,5065,0,2.907440,117.070
243,5126,0,2.124977,114.801
244,5127,0,2.125157,113.250
245,5168,0,1.885044,114.008
246,5169,0,2.000795,113.961
247,5210,0,1.736299,112.254
248,5231,0,1.844979,110.988
249,5232,0,1.983631,111.953
250,5233,0,1.726408,110.965
251,5235,0,1.610229,110.391
252,5237,0,1.844752,111.875
253,5336,0,1.710297,111.312
254,5357,0,2.145719,111.805
255,5358,0,2.146840,115.559
256,5359,0,1.972166,112.414
257,5361,0,1.769431,111.270
258,5441,0,2.157909,115.215
259,5442,0,2.451809,114.910
260,5443,0,2.310263,115.445
261,5504,0,2.311417,114.672
262,5505,0,1.889234,112.871
263,5506,0,2.023925,110.828
264,5508,0,2.310402,113.320
265,5510,0,2.172689,113.492
266,5513,0,1.755896,110.242
267,5630,0,2.566302,115.559
268,5651,0,1.805610,112.254
269,5652,0,1.922671,113.902
270,5693,0,2.046615,114.539
271,5714,0,2.527725,116.027
272,5715,0,2.409493,115.258
273,5716,0,2.063944,110.477
274,5718,0,2.063435,109.289
275,5798,0,2.411112,111.051
276,5799,0,2.293577,113.027
277,5800,0,2.410326,113.961
278,5802,0,2.410548,113.336
279,5882,0,2.394103,115.289
280,5883,0,2.158329,112.320
281,5924,0,1.841443,110.566
282,5925,0,1.841230,110.812
283,5966,0,2.294156,114.934
284,5987,0,1.804390,112.645
285,5988,0,1.805878,112.602
286,6029,0,2.183520,114.324
287,6030,0,2.186068,112.539
288,6031,0,1.980563,111.641
289,6092,0,1.540442,111.742
290,6113,0,1.703046,111.496
291,6114,0,1.706545,112.035
292,6155,0,1.764752,111.141
293,6156,0,1.953983,114.215
294,6197,0,1.841915,112.184
295,6198,0,2.247234,114.578
296,6199,0,2.047425,111.402
297,6200,0,1.854915,111.500
298,6281,0,1.543989,109.973
299,6302,0,1.841462,114.293
300,6303,0,1.844609,112.242
301,6344,0,1.817938,111.715
302,6345,0,2.021271,111.977
303,6386,0,1.598488,112.387
304,6387,0,1.795793,111.367
305,6428,0,1.856334,112.379
306,6429,0,2.666462,115.719
307,6430,0,2.309175,112.680
308,6491,0,2.307662,111.707
309,6492,0,2.307543,112.758
310,6493,0,2.422556,113.316
311,6494,0,2.072851,109.344
312,6575,0,2.167474,110.137
313,6576,0,2.282024,111.039
314,6577,0,2.051242,109.375
315,6578,0,3.076081,116.199
316,6659,0,2.963677,115.488
317,6660,0,2.184994,109.164
318,6661,0,2.461411,114.070
319,6662,0,2.577819,113.203
320,6743,0,2.385620,112.309
321,6744,0,2.269238,111.969
322,6745,0,2.624823,112.949
323,6746,0,2.384514,112.074
324,6827,0,2.560550,113.953
325,6828,0,2.419631,111.766
326,6829,0,2.061085,111.180
327,6890,0,2.357131,113.797
328,6911,0,2.401031,113.801
329,6912,0,2.557150,113.199
330,6913,0,2.404452,112.723
331,6974,0,2.073787,112.875
332,6975,0,1.945043,111.461
333,7016,0,2.020410,113.230
334,7017,0,2.171966,113.883
335,7058,0,1.725583,111.953
336,7079,0,1.568286,111.867
337,7100,0,1.973828,113.930
338,7101,0,1.763893,111.285
339,7142,0,1.862165,112.621
340,7143,0,2.227476,114.156
341,7144,0,1.867322,110.352
342,7205,0,1.748288,110.527
343,7206,0,1.546002,110.930
344,7247,0,1.758432,111.426
345,7268,0,1.624313,110.367
346,7289,0,1.763180,110.383
347,7290,0,2.256498,115.086
348,7291,0,1.767134,111.918
349,7352,0,1.816875,110.824
350,7353,0,1.989876,112.883
351,7354,0,1.820786,111.691
352,7415,0,1.700085,110.422
353,7436,0,1.557583,109.938
354,7437,0,1.722924,111.113
355,7478,0,1.923276,111.004
356,7479,0,2.111965,112.207
357,7480,0,2.535999,114.855
358,7482,0,2.116190,111.820
359,7562,0,2.160093,111.785
360,7563,0,2.293135,113.789
361,7604,0,2.138999,111.906
362,7605,0,2.547669,112.793
363,7606,0,2.139078,109.074
364,7607,0,2.701264,113.996
365,7688,0,2.227170,111.152
366,7689,0,2.388685,112.414
367,7730,0,1.766790,109.773
368,7731,0,2.686905,115.570
369,7772,0,2.506853,113.527
370,7773,0,2.270437,111.348
371,7774,0,2.506324,115.027
372,7775,0,2.389681,111.141
373,7856,0,1.815849,110.180
374,7857,0,2.204361,113.434
375,7898,0,2.345972,113.414
376,7919,0,1.937412,110.848
377,7920,0,2.351955,111.977
378,7961,0,2.334150,113.531
379,7962,0,2.337751,113.793
380,7963,0,2.184757,112.141
381,7965,0,2.017740,112.582
382,8045,0,1.868586,111.660
383,8046,0,1.732258,110.816
384,8087,0,1.684630,111.641
385,8108,0,2.006909,113.211
386,8129,0,2.218252,114.754
387,8130,0,1.491262,110.383
388,8171,0,1.708105,110.711
389,8192,0,2.300861,114.531
390,8193,0,2.160518,113.617
391,8194,0,1.973389,112.867
392,8196,0,2.300449,114.363
393,8276,0,2.304278,113.188
394,8297,0,1.877011,111.441
395,8318,0,1.988359,112.766
396,8319,0,1.549500,111.762
397,8320,0,1.860340,114.141
398,8381,0,2.337397,114.879
399,8402,0,2.061748,114.637
400,8423,0,2.233503,116.062
401,8424,0,2.104644,115.762
402,8465,0,1.835909,110.258
403,8466,0,2.239884,113.996
404,8467,0,2.116240,112.793
405,8469,0,2.116427,112.918
406,8549,0,1.993332,112.012
407,8570,0,2.258181,111.793
408,8571,0,2.260707,111.930
409,8572,0,2.426403,112.777
410,8573,0,2.613950,113.348
411,8654,0,1.799877,109.930
412,8655,0,2.464421,116.070
413,8656,0,2.465625,113.512
414,8717,0,1.738018,109.652
415,8718,0,1.739930,110.375
416,8759,0,2.087326,114.227
417,8760,0,2.232099,115.598
418,8801,0,1.832648,111.395
419,8802,0,1.834111,113.312
420,8803,0,1.972919,114.723
421,8864,0,1.998646,111.988
422,8866,0,2.001053,111.781
423,8906,0,1.878474,111.512
424,8907,0,2.401558,112.738
425,8908,0,2.050396,114.715
426,8969,0,1.899336,111.535
427,8970,0,2.554116,113.906
428,9011,0,2.085721,113.770
429,9012,0,1.763235,111.676
430,9053,0,2.488411,114.098
431,9054,0,2.489455,113.844
432,9095,0,2.370553,112.453
433,9096,0,2.128058,112.363
434,9097,0,2.371029,110.906
435,9099,0,1.980539,110.492
436,9179,0,1.992141,110.297
437,9181,0,1.991927,111.848
